customer_id,gender,senior_citizen,partner,dependents,tenure,phone_service,multiple_lines,internet_service,online_security,online_backup,device_protection,tech_support,streaming_tv,streaming_movies,contract,paperless_billing,payment_method,monthly_charges,total_charges,churn,tenure_was_missing,monthly_charges_was_missing,total_logins,avg_session_mins,login_days_active,days_since_last_login,total_tickets,avg_resolution_hours,max_resolution_hours,billing_tickets,technical_tickets,billing_ticket_ratio,total_bills,total_late_payments,late_payment_rate,avg_payment_gap,max_payment_gap,avg_amount_due
7590-VHVEG,Female,0,Yes,No,1.0,No,No Phone Service,Dsl,No,Yes,No,No,No,No,Month-To-Month,Yes,Electronic Check,29.85,29.85,0,0,0,0.0,0.0,0.0,365.0,0.0,0.0,0.0,0.0,0.0,0.0,3,0,0.0,0.0,0.0,91.65
5575-GNVDE,Male,0,No,No,34.0,Yes,No,Dsl,Yes,No,Yes,No,No,No,One Year,No,Mailed Check,56.95,1889.5,0,0,0,0.0,0.0,0.0,365.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0.0,0.0,0.0,71.62
3668-QPYBK,Male,0,No,No,2.0,Yes,No,Dsl,Yes,Yes,No,No,No,No,Month-To-Month,Yes,Mailed Check,53.85,108.15,1,0,0,0.0,0.0,0.0,365.0,0.0,0.0,0.0,0.0,0.0,0.0,3,1,0.33,4.77,14.32,68.09
7795-CFOCW,Male,0,No,No,45.0,No,No Phone Service,Dsl,Yes,No,Yes,Yes,No,No,One Year,No,Bank Transfer (Automatic),42.3,1840.75,0,0,0,5.0,107.0,1.0,232.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0.0,0.0,0.0,30.34
9237-HQITU,Female,0,No,No,2.0,Yes,No,Fiber Optic,No,No,No,No,No,No,Month-To-Month,Yes,Electronic Check,70.7,151.65,1,0,0,0.0,0.0,0.0,365.0,0.0,0.0,0.0,0.0,0.0,0.0,3,0,0.0,0.0,0.0,66.65
9305-CDSKC,Female,0,No,No,8.0,Yes,Yes,Fiber Optic,No,No,Yes,No,Yes,Yes,Month-To-Month,Yes,Electronic Check,99.65,820.5,1,0,0,0.0,0.0,0.0,365.0,0.0,0.0,0.0,0.0,0.0,0.0,2,0,0.0,0.0,0.0,38.74
1452-KIOVK,Male,0,No,Yes,22.0,Yes,Yes,Fiber Optic,No,Yes,No,No,Yes,No,Month-To-Month,Yes,Credit Card (Automatic),89.1,1949.4,0,0,0,0.0,0.0,0.0,365.0,0.0,0.0,0.0,0.0,0.0,0.0,2,0,0.0,0.0,0.0,90.64
6713-OKOMC,Female,0,No,No,10.0,No,No Phone Service,Dsl,Yes,No,No,No,No,No,Month-To-Month,No,Mailed Check,29.75,301.9,0,0,0,6.0,294.0,1.0,292.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0.0,0.0,0.0,96.55
7892-POOKP,Female,0,Yes,No,28.0,Yes,Yes,Fiber Optic,No,No,Yes,Yes,Yes,Yes,Month-To-Month,Yes,Electronic Check,104.8,3046.05,1,0,0,10.0,263.0,1.0,287.0,0.0,0.0,0.0,0.0,0.0,0.0,2,0,0.0,0.0,0.0,60.47
6388-TABGU,Male,0,No,Yes,62.0,Yes,No,Dsl,Yes,Yes,No,No,No,No,One Year,No,Bank Transfer (Automatic),56.15,3487.95,0,0,0,0.0,0.0,0.0,365.0,0.0,0.0,0.0,0.0,0.0,0.0,3,1,0.33,3.53,10.58,53.31
