churn_probability,predicted_churn,actual_churn,risk_tier,top_churn_drivers
0.9963314404651581,1,0,High,"streaming_tv, streaming_movies, online_backup"
0.9934309394438651,1,0,High,"streaming_tv, streaming_movies, online_backup"
0.9827987048338493,1,1,High,"streaming_tv, streaming_movies, online_backup"
0.9751333987752611,1,1,High,"streaming_tv, online_backup, tech_support"
0.9714138812343789,1,1,High,"online_backup, device_protection, monthly_charges"
0.96595708745262,1,0,High,"streaming_tv, streaming_movies, online_backup"
0.9630578697863977,1,1,High,"streaming_movies, online_backup, device_protection"
0.9576838159948887,1,1,High,"online_backup, device_protection, monthly_charges"
0.9526105577715919,1,1,High,"streaming_tv, online_backup, device_protection"
0.9454090394357012,1,1,High,"streaming_movies, online_backup, device_protection"
0.9377981459849623,1,1,High,"num_services, monthly_charges, tech_support"
0.9342038880259801,1,1,High,"online_backup, device_protection, monthly_charges"
0.9322334864872408,1,1,High,"online_backup, device_protection, tech_support"
0.9282377204910864,1,1,High,"online_backup, device_protection, tech_support"
0.9264877623447763,1,1,High,"num_services, online_backup, monthly_charges"
0.9249756467940947,1,1,High,"online_backup, device_protection, monthly_charges"
0.9213386512186338,1,1,High,"online_backup, device_protection, tech_support"
0.9149057091361932,1,1,High,"streaming_tv, streaming_movies, online_backup"
0.9131406367802872,1,1,High,"streaming_tv, online_backup, device_protection"
0.912681217790144,1,1,High,"streaming_tv, streaming_movies, online_backup"
0.9095361029870368,1,1,High,"online_backup, device_protection, tech_support"
0.90836770061326,1,0,High,"online_backup, device_protection, tech_support"
0.9077036634090522,1,1,High,"streaming_tv, streaming_movies, device_protection"
0.9056807774652033,1,1,High,"streaming_tv, streaming_movies, online_backup"
0.905064611179167,1,1,High,"online_backup, device_protection, monthly_charges"
0.9037012796057667,1,1,High,"num_services, monthly_charges, tech_support"
0.9034005161251631,1,1,High,"streaming_tv, streaming_movies, online_backup"
0.9028575578774133,1,1,High,"streaming_movies, online_backup, device_protection"
0.9028390848655189,1,1,High,"streaming_tv, streaming_movies, online_backup"
0.9010348575405697,1,1,High,"online_backup, device_protection, tech_support"
0.8988228592014736,1,1,High,"streaming_tv, online_backup, device_protection"
0.8987119997519558,1,1,High,"online_backup, device_protection, tech_support"
0.8983491591478332,1,1,High,"streaming_tv, online_backup, device_protection"
0.8973534914728309,1,1,High,"streaming_movies, online_backup, device_protection"
0.8955871219665322,1,0,High,"num_services, online_backup, monthly_charges"
0.8928813474470412,1,1,High,"num_services, monthly_charges, online_backup"
