customer_id,billing_date,amount_due,amount_paid,payment_gap,late_payment
7590-VHVEG,2022-01-08,110.17,110.17,0.0,0
7590-VHVEG,2022-07-29,54.64,54.64,0.0,0
7590-VHVEG,2022-10-31,110.13,110.13,0.0,0
5575-GNVDE,2022-10-01,71.62,71.62,0.0,0
3668-QPYBK,2022-01-23,114.13,114.13,0.0,0
3668-QPYBK,2022-02-18,37.12,22.8,14.32,1
3668-QPYBK,2022-07-09,53.01,53.01,0.0,0
7795-CFOCW,2022-01-07,30.34,30.34,0.0,0
9237-HQITU,2022-04-18,28.26,28.26,0.0,0
9237-HQITU,2022-03-19,96.03,96.03,0.0,0
9237-HQITU,2022-04-12,75.65,75.65,0.0,0
9305-CDSKC,2022-06-17,36.08,36.08,0.0,0
9305-CDSKC,2022-05-02,41.4,41.4,0.0,0
1452-KIOVK,2022-12-09,115.17,115.17,0.0,0
1452-KIOVK,2022-10-18,66.1,66.1,0.0,0
6713-OKOMC,2022-04-05,96.55,96.55,0.0,0
7892-POOKP,2022-05-06,82.38,82.38,0.0,0
7892-POOKP,2022-08-05,38.56,38.56,0.0,0
6388-TABGU,2022-02-14,46.12,46.12,0.0,0
6388-TABGU,2022-10-02,69.17,69.17,0.0,0
6388-TABGU,2022-11-25,44.65,34.07,10.58,1
9763-GRSKD,2022-05-13,79.43,79.43,0.0,0
9763-GRSKD,2022-01-22,48.47,48.47,0.0,0
9763-GRSKD,2022-06-07,37.72,37.72,0.0,0
7469-LKBCI,2022-12-11,97.34,97.34,0.0,0
8091-TTVAX,2022-01-05,29.1,20.78,8.32,1
8091-TTVAX,2022-08-23,72.33,72.33,0.0,0
0280-XJGEX,2022-01-05,87.05,87.05,0.0,0
0280-XJGEX,2022-10-13,32.95,32.95,0.0,0
5129-JLPIS,2022-12-04,77.23,77.23,0.0,0
5129-JLPIS,2022-03-09,32.34,23.16,9.18,1
3655-SNQYZ,2022-12-21,48.51,48.51,0.0,0
8191-XWSZG,2022-11-04,101.52,81.96,19.56,1
8191-XWSZG,2022-04-06,45.82,45.82,0.0,0
8191-XWSZG,2022-09-02,118.68,118.68,0.0,0
9959-WOFKT,2022-09-15,101.96,101.96,0.0,0
9959-WOFKT,2022-05-20,103.18,103.18,0.0,0
4190-MFLUW,2022-08-23,61.83,61.83,0.0,0
4183-MYFRB,2022-03-23,64.44,59.71,4.73,1
8779-QRDMV,2022-10-15,77.3,77.3,0.0,0
8779-QRDMV,2022-10-06,75.94,75.94,0.0,0
8779-QRDMV,2022-06-28,94.2,94.2,0.0,0
1680-VDCWW,2022-09-15,20.59,20.59,0.0,0
1680-VDCWW,2022-04-25,86.78,86.78,0.0,0
1680-VDCWW,2022-10-01,62.1,33.16,28.94,1
1066-JKSGK,2022-11-19,77.21,77.21,0.0,0
1066-JKSGK,2022-06-05,29.77,29.77,0.0,0
1066-JKSGK,2022-03-31,111.04,80.59,30.45,1
3638-WEABW,2022-07-14,101.91,101.91,0.0,0
3638-WEABW,2022-10-22,55.31,55.31,0.0,0
3638-WEABW,2022-08-18,82.38,82.38,0.0,0
6322-HRPFA,2022-01-14,31.52,31.52,0.0,0
6865-JZNKO,2022-05-12,118.23,118.23,0.0,0
6865-JZNKO,2022-12-13,49.93,49.93,0.0,0
6865-JZNKO,2022-07-25,45.91,45.91,0.0,0
6467-CHFZW,2022-05-26,21.21,21.21,0.0,0
6467-CHFZW,2022-09-03,83.67,83.67,0.0,0
6467-CHFZW,2022-06-27,49.3,49.3,0.0,0
8665-UTDHZ,2022-02-04,25.48,16.85,8.63,1
5248-YGIJN,2022-02-26,55.13,55.13,0.0,0
5248-YGIJN,2022-10-23,105.35,105.35,0.0,0
8773-HHUOZ,2022-09-25,26.58,26.58,0.0,0
3841-NFECX,2022-10-23,102.11,102.11,0.0,0
4929-XIHVW,2022-11-24,64.64,64.64,0.0,0
4929-XIHVW,2022-03-29,93.08,93.08,0.0,0
6827-IEAUQ,2022-08-10,71.35,71.35,0.0,0
6827-IEAUQ,2022-03-29,66.68,66.68,0.0,0
